Structure,Monoisotopicmass
GM|0,498.2061
GM (x2)|0,976.386
GM (x3)|0,1454.5659
GM-AE|1,698.2858
GM-AEJ|1,870.3706
GM-AEJA|1,941.4077
GM-AEJAA|1,1012.4448
GM-AEJAD|1,1056.43464
GM-AEJADA|1,1127.47175
GM-AEJADAV|1,1226.54017
GM-AEJADAI|1,1240.55581
GM-AEJADAIV|1,1339.62423
GM-AEJADAIVA|1,1410.66134
GM-AEJADAIVAA|1,1481.69846
GM-AEJAE|1,1070.4554
GM-AEJAF|1,1088.4804
GM-AEJAG|1,998.4292
GM-AEJAH|1,1078.4714
GM-AEJAI|1,1054.4964
GM-AEJAK|1,1069.5074
GM-AEJAM|1,1072.4524
GM-AEJAN|1,1055.4554
GM-AEJAQ|1,1069.4714
GM-AEJAR|1,1097.5124
GM-AEJAT|1,1042.4604
GM-AEJAY|1,1104.4724
GM-AEJD|1,985.4023
GM-AEJF|1,1017.4433
GM-AEJG|1,927.392
GM-AEJH|1,1007.4343
GM-AEJI|1,983.4593
GM-AEJK|1,998.4703
GM-AEJM|1,1001.4153
GM-AEJN|1,984.41353
GM-AEJQ|1,998.4343
GM-AEJR|1,1026.4753
GM-AEJS|1,957.4073
GM-AEJT|1,971.4233
GM-AEJV|1,969.4433
GM-AEJY|1,1033.4353
